url,title,stars,reviewers,cost,cost_2,kindle,kindle_2,kindle_3
https://www.amazon.com/Data-Science-Workshop-learning-real-world/dp/1800566921/ref=sr_1_76?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021211&sr=8-76,"The Data Science Workshop: Learn how you can build machine learning models and create your own real-world data science projects, 2nd Edition",4.8,6,0.0,8.28,0.0,39.99,0.0
https://www.amazon.com/Beginning-Data-Science-Visualization-Modelling/dp/1484226704/ref=sr_1_220?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021257&sr=8-220,"Beginning Data Science in R: Data Analysis, Visualization, and Modelling for the Data Scientist",4.8,6,0.0,49.37,0.0,44.7,0.0
https://www.amazon.com/Star-Trek-Generation-Picture-Collection/dp/B016OLA1A2/ref=sr_1_112?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021226&sr=8-112,Star Trek: The Next Generation Motion Picture Collection,4.8,2,0.0,20.78,0.0,10.79,0.0
https://www.amazon.com/Designing-Data-Intensive-Applications-Reliable-Maintainable/dp/1449373321/ref=sr_1_33?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-33,"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",4.8,1,0.0,16.5,0.0,33.0,0.0
https://www.amazon.com/Hands-Machine-Learning-Scikit-Learn-TensorFlow/dp/1492032646/ref=sr_1_51?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021211&sr=8-51,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",4.8,1,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Data-Science-Transform-Visualize-Model/dp/1491910399/ref=sr_1_8?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-8,"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data",4.7,957,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Open-Borders-Science-Ethics-Immigration/dp/1250316960/ref=sr_1_279?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021272&sr=8-279,Open Borders: The Science and Ethics of Immigration,4.7,511,0.0,11.95,0.0,8.97,0.0
https://www.amazon.com/Complete-Sherlock-Holmes-Arthur-Conan-ebook/dp/B092D76JRW/ref=sr_1_92?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021211&sr=8-92,The Complete Sherlock Holmes,4.7,386,0.0,0.0,0.0,0.99,0.0
https://www.amazon.com/Complete-Sherlock-Holmes-Arthur-Conan-ebook/dp/B092D76JRW/ref=sr_1_147?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021241&sr=8-147,The Complete Sherlock Holmes,4.7,386,0.0,0.0,0.0,0.99,0.0
https://www.amazon.com/Biology-Cancer-2nd-Robert-Weinberg/dp/0815342209/ref=sr_1_225?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021257&sr=8-225,"The Biology of Cancer, 2nd Edition",4.7,299,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Mathematics-Machine-Learning-Peter-Deisenroth/dp/110845514X/ref=sr_1_234?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021257&sr=8-234,Mathematics for Machine Learning,4.7,254,0.0,0.0,0.0,0.0,0.0
