url,title,stars,reviewers,cost,cost_2,kindle,kindle_2,kindle_3
https://www.amazon.com/Python-Data-Analysis-Beginners-Discovering-ebook/dp/B08X2TQHNN/ref=sr_1_280?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021272&sr=8-280,"Python for Data Analysis: The Top Guide for Beginners to Discovering Data Science from Scratch, Data Analysis, Analytics & Machine Learning using Python with Business Cases - 4 Books in 1",4.6,13,0,16.99,4.9,4.9,4.9
https://www.amazon.com/Information-Visualization-Perception-Interactive-Technologies/dp/0128128755/ref=sr_1_269?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021272&sr=8-269,Information Visualization: Perception for Design (Interactive Technologies),4.6,13,0,0,0,0,0
https://www.amazon.com/Analytical-Skills-Data-Science-Enterprise/dp/1492060941/ref=sr_1_119?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021226&sr=8-119,Analytical Skills for AI and Data Science: Building Skills for an AI-Driven Enterprise,4.6,10,0,0,0,0,0
https://www.amazon.com/Data-Science-Scratch-Principles-Python/dp/1492041130/ref=sr_1_1?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-1,Data Science from Scratch: First Principles with Python,4.5,365,0,0,0,0,0
https://www.amazon.com/Introduction-Machine-Learning-Python-Scientists/dp/1449369413/ref=sr_1_162?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021241&sr=8-162,Introduction to Machine Learning with Python: A Guide for Data Scientists,4.5,365,0,0,0,0,0
https://www.amazon.com/Python-Machine-Learning-scikit-learn-TensorFlow/dp/1789955750/ref=sr_1_256?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021272&sr=8-256,"Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow 2, 3rd Edition",4.5,242,0,25.12,0,0,0
https://www.amazon.com/Data-Science-Press-Essential-Knowledge/dp/0262535432/ref=sr_1_2?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-2,Data Science (The MIT Press Essential Knowledge series),4.5,236,0,0,0,0,0
https://www.amazon.com/No-bullshit-guide-linear-algebra/dp/0992001021/ref=sr_1_155?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021241&sr=8-155,No bullshit guide to linear algebra,4.5,117,0,0,0,26,0
https://www.amazon.com/Data-Science-Beginners-Programming-Learning-ebook/dp/B0842X2C28/ref=sr_1_11?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-11,Data Science for Beginners: The Essential Crash Course to Learn Python Programming and Master Data Science from Scratch with Real-World Applications to ... Analysis and Machine Learning. 6 Books in 1,4.5,110,0,23.95,7.51,7.51,7.51
https://www.amazon.com/Numerical-Python-Scientific-Applications-Matplotlib/dp/1484242459/ref=sr_1_88?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021211&sr=8-88,"Numerical Python: Scientific Computing and Data Science Applications with Numpy, SciPy and Matplotlib",4.5,62,0,10.06,0,0,0
